Linux 3.10.0-1160.el7.x86_64 (test-deid) 	西元2023年06月06日 	_x86_64_	(8 CPU)

11時15分47秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
11時16分47秒     all      0.89      0.00      0.66      0.01      0.00     98.44
11時17分47秒     all      0.98      0.00      0.96      0.00      0.00     98.06
11時18分47秒     all      0.90      0.00      0.71      0.00      0.00     98.38
11時19分47秒     all      0.94      0.00      0.92      0.00      0.00     98.14
11時20分47秒     all      0.95      0.00      0.75      0.01      0.00     98.29
11時21分47秒     all      0.92      0.00      0.78      0.00      0.00     98.29
11時22分47秒     all      0.95      0.00      0.81      0.00      0.00     98.23
11時23分47秒     all      0.87      0.00      0.67      0.00      0.00     98.45
11時24分47秒     all      0.84      0.00      0.66      0.00      0.00     98.50
11時25分47秒     all      0.92      0.00      0.67      0.00      0.00     98.41
11時26分47秒     all      0.81      0.00      0.66      0.00      0.00     98.52
11時27分47秒     all      0.94      0.00      0.69      0.00      0.00     98.37
11時28分47秒     all      0.87      0.00      0.70      0.00      0.00     98.43
11時29分47秒     all      0.93      0.00      0.70      0.01      0.00     98.36
11時30分47秒     all      0.89      0.00      0.74      0.00      0.00     98.37
11時31分47秒     all      1.04      0.00      0.76      0.06      0.00     98.14
11時32分47秒     all      0.94      0.00      0.83      0.00      0.00     98.23
11時33分47秒     all      0.87      0.00      0.67      0.00      0.00     98.46
11時34分47秒     all      0.88      0.00      0.66      0.00      0.00     98.46
11時35分47秒     all      0.87      0.00      0.69      0.00      0.00     98.43
11時36分47秒     all      0.92      0.00      0.69      0.00      0.00     98.39
11時37分47秒     all      0.84      0.00      0.65      0.00      0.00     98.50
11時38分47秒     all      0.86      0.00      0.66      0.00      0.00     98.48
11時39分47秒     all      0.87      0.00      0.69      0.00      0.00     98.44
11時40分47秒     all      0.93      0.00      0.74      0.00      0.00     98.33
11時41分47秒     all      0.91      0.00      0.72      0.00      0.00     98.37
11時42分47秒     all      0.91      0.00      0.83      0.00      0.00     98.26
11時43分47秒     all      0.91      0.00      0.69      0.00      0.00     98.39
11時44分47秒     all      0.86      0.00      0.69      0.00      0.00     98.45
11時45分47秒     all      0.95      0.00      0.72      0.00      0.00     98.33
11時46分47秒     all      0.85      0.00      0.69      0.00      0.00     98.46
11時47分47秒     all      0.91      0.00      0.68      0.00      0.00     98.41
11時48分47秒     all      0.86      0.00      0.68      0.00      0.00     98.46
11時49分47秒     all      0.89      0.00      0.70      0.00      0.00     98.41
11時50分47秒     all      0.86      0.00      0.78      0.00      0.00     98.36
11時51分47秒     all      0.95      0.00      0.72      0.00      0.00     98.33
11時52分47秒     all      0.94      0.00      0.88      0.00      0.00     98.18
11時53分47秒     all      0.89      0.00      0.69      0.00      0.00     98.43
11時54分47秒     all      0.90      0.00      0.66      0.00      0.00     98.44
11時55分47秒     all      0.92      0.00      0.71      0.00      0.00     98.37
11時56分47秒     all      0.86      0.00      0.65      0.00      0.00     98.48
11時57分47秒     all      0.86      0.00      0.69      0.00      0.00     98.45
