Linux 3.10.0-1160.el7.x86_64 (test-deid_2) 	西元2023年07月13日 	_x86_64_	(8 CPU)

10時18分21秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
10時19分21秒     all      0.32      0.00      0.09      0.00      0.00     99.59
10時20分21秒     all      0.35      0.00      0.11      0.00      0.00     99.54
10時21分21秒     all      0.28      0.00      0.06      0.00      0.00     99.65
10時22分21秒     all      0.36      0.00      0.07      0.01      0.00     99.56
10時23分21秒     all      0.34      0.00      0.15      0.00      0.00     99.51
10時24分21秒     all      0.33      0.00      0.07      0.00      0.00     99.60
10時25分21秒     all      0.28      0.00      0.07      0.00      0.00     99.65
10時26分21秒     all      0.33      0.00      0.07      0.00      0.00     99.59
10時27分21秒     all      0.27      0.00      0.06      0.00      0.00     99.67
10時28分21秒     all      0.34      0.00      0.07      0.04      0.00     99.55
10時29分21秒     all      0.28      0.00      0.07      0.00      0.00     99.65
10時30分21秒     all      0.41      0.00      0.14      0.01      0.00     99.44
10時31分21秒     all      0.28      0.00      0.07      0.00      0.00     99.65
10時32分21秒     all      0.34      0.00      0.06      0.00      0.00     99.60
10時33分21秒     all      0.34      0.00      0.15      0.00      0.00     99.52
10時34分21秒     all      0.36      0.00      0.06      0.00      0.00     99.57
10時35分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
10時36分21秒     all      0.33      0.00      0.07      0.00      0.00     99.59
10時37分21秒     all      0.28      0.00      0.05      0.00      0.00     99.67
10時38分21秒     all      0.35      0.00      0.07      0.00      0.00     99.58
10時39分21秒     all      0.28      0.00      0.06      0.00      0.00     99.67
10時40分21秒     all      0.41      0.00      0.16      0.00      0.00     99.42
10時41分21秒     all      0.27      0.00      0.06      0.00      0.00     99.67
10時42分21秒     all      0.39      0.00      0.18      0.00      0.00     99.42
10時43分21秒     all      0.33      0.00      0.15      0.00      0.00     99.52
10時44分21秒     all      0.36      0.00      0.10      0.00      0.00     99.53
10時45分21秒     all      0.27      0.00      0.06      0.00      0.00     99.67
10時46分21秒     all      0.33      0.00      0.07      0.00      0.00     99.60
10時47分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
10時48分21秒     all      0.37      0.00      0.08      0.00      0.00     99.55
10時49分21秒     all      0.32      0.00      0.07      0.00      0.00     99.60
10時50分21秒     all      0.37      0.00      0.12      0.00      0.00     99.52
10時51分21秒     all      0.28      0.00      0.05      0.00      0.00     99.67
10時52分21秒     all      0.34      0.00      0.07      0.00      0.00     99.60
10時53分21秒     all      0.33      0.00      0.15      0.00      0.00     99.52
10時54分21秒     all      0.32      0.00      0.06      0.00      0.00     99.62
10時55分21秒     all      0.31      0.00      0.07      0.00      0.00     99.61
10時56分21秒     all      0.33      0.00      0.07      0.00      0.00     99.60
10時57分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
10時58分21秒     all      0.34      0.00      0.07      0.00      0.00     99.58
10時59分21秒     all      0.28      0.00      0.06      0.00      0.00     99.67
11時00分21秒     all      0.36      0.00      0.10      0.00      0.00     99.54
11時01分21秒     all      0.32      0.00      0.11      0.00      0.00     99.57
11時02分21秒     all      0.38      0.00      0.10      0.02      0.00     99.50
11時03分21秒     all      0.33      0.00      0.15      0.00      0.00     99.52
11時04分21秒     all      0.34      0.00      0.06      0.00      0.00     99.60
11時05分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
11時06分21秒     all      0.34      0.00      0.07      0.00      0.00     99.60
11時07分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
11時08分21秒     all      0.34      0.00      0.07      0.00      0.00     99.59
11時09分21秒     all      0.32      0.00      0.08      0.02      0.00     99.58
11時10分21秒     all      0.40      0.00      0.13      0.00      0.00     99.47
11時11分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
11時12分21秒     all      0.32      0.00      0.06      0.00      0.00     99.61
11時13分21秒     all      0.34      0.00      0.15      0.00      0.00     99.51
11時14分21秒     all      0.33      0.00      0.07      0.00      0.00     99.60
11時15分21秒     all      0.27      0.00      0.06      0.00      0.00     99.67
11時16分21秒     all      0.38      0.00      0.07      0.00      0.00     99.55
11時17分21秒     all      0.27      0.00      0.05      0.00      0.00     99.67
11時18分21秒     all      0.34      0.00      0.08      0.00      0.00     99.57
